oslaua_code,old_code,
E06000059,E07000049,
E06000059,E07000050,
E06000059,E07000051,
E06000059,E07000052,
E06000059,E07000053,
E06000060 ,E07000004,
E06000060 ,E07000005,
E06000060 ,E07000006,
E06000060 ,E07000007,
E06000058 ,E06000028,
E06000058 ,E06000029,
E06000058 ,E07000048,
E06000062 ,E07000151,
E06000062 ,E07000154,
E06000062 ,E07000155,
E06000061 ,E07000150,
E06000061 ,E07000152,
E06000061 ,E07000153,
E06000061 ,E07000156,
E07000244 ,E07000205,
E07000244 ,E07000206,
E07000246 ,E07000190,
E07000246 ,E07000191,
E07000245 ,E07000201,
E07000245 ,E07000204,
