Code,Name,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
K04000001,England and Wales,4.81,5.68,6.41,6.6,6.86,7.12,6.89,6.35,6.85,6.72,6.68,6.62,6.87,7.22,7.41,7.56,7.58,7.43,7.47,8.78,8.1
E92000001,England ,4.92,5.81,6.46,6.65,6.92,7.14,6.93,6.41,6.89,6.79,6.71,6.72,6.95,7.33,7.54,7.74,7.71,7.59,7.61,8.9,8.28
E12000001,North East,3.04,3.65,4.45,4.72,5.38,5.68,5.4,4.95,5.18,4.96,4.84,4.83,4.84,4.95,4.87,4.87,4.9,4.77,4.77,5.35,4.7
E12000002,North West,3.29,3.77,4.59,5.02,5.44,5.69,5.45,5.21,5.35,5.17,5.07,4.94,5.29,5.37,5.45,5.63,5.63,5.59,5.59,6.43,6
E12000003,Yorkshire and The Humber,3.32,4,4.88,5.3,5.65,5.88,5.62,5.21,5.64,5.35,5.26,5.21,5.4,5.57,5.59,5.7,5.76,5.66,5.66,6.39,5.9
E12000004,East Midlands,3.89,4.69,5.73,5.76,5.99,6.21,5.9,5.3,5.64,5.55,5.4,5.38,5.7,5.86,6.03,6.4,6.48,6.39,6.46,7.54,7.28
E12000005,West Midlands,4.22,4.92,5.82,6,6.2,6.43,6.09,5.81,6.15,5.86,5.77,5.72,6.03,6.09,6.24,6.39,6.52,6.54,6.51,7.52,7.07
E12000006,East,5.29,6.07,6.61,6.81,6.99,7.25,7.18,6.41,6.94,6.83,6.79,6.84,7.22,7.79,8.33,8.93,8.98,8.78,8.76,10.06,9.46
E12000007,London,6.74,7.4,7.95,8,8.32,8.38,8.52,7.83,8.87,9.26,9.23,9.77,10.72,11.69,12.76,12.96,12.81,12.35,12.33,13.55,13.33
E12000008,South East,6.01,6.72,7.25,7.45,7.58,8.06,7.89,6.98,7.8,7.65,7.64,7.76,8.15,8.65,9.32,9.63,9.69,9.43,9.43,10.61,10.36
E12000009,South West,5.85,6.81,7.5,7.75,7.86,8.19,7.93,7.14,7.68,7.54,7.47,7.37,7.53,7.93,8.25,8.54,8.56,8.44,8.45,9.73,9.3
W92000004,Wales,3.42,4.07,4.95,5.62,5.91,6.3,6.05,5.54,5.7,5.42,5.37,5.28,5.37,5.42,5.51,5.54,5.55,5.56,5.61,6.23,6.16
